x,y,area,mean_intensity
318.1978021978022,225.45054945054946,91.0,-249.1978021978022
330.0,233.33333333333334,6.0,-374.8333333333333
365.2,257.6,5.0,-355.2
333.0833333333333,272.1666666666667,12.0,-328.8333333333333
341.54545454545456,281.1363636363636,22.0,-326.6818181818182
328.70652173913044,286.0652173913044,92.0,-209.77173913043478
295.55555555555554,297.22222222222223,9.0,-351.55555555555554
187.55555555555554,309.25,72.0,-317.7638888888889
150.66666666666666,339.8888888888889,9.0,-369.44444444444446
297.90909090909093,347.1818181818182,22.0,-325.1818181818182
